"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeofFlightLine","Classification","ScanAngleRank","UserData","PointSourceID","gpstime","Range"
5673413.9730,3704827.3530,1520.9360,41,1,2,0,0,5,7,0,111,50772192.00749060,4484.1730
5673415.5290,3704827.1040,1462.1770,63,2,2,0,0,2,7,0,111,50772192.00749060,4542.9531
5673411.7600,3704829.5400,1514.8010,215,1,1,0,0,5,7,0,111,50772192.00750180,4490.2391
5673409.3810,3704831.7520,1515.0970,55,1,2,0,0,5,7,0,111,50772192.00751320,4489.8744
5673410.7690,3704831.5920,1459.8470,94,2,2,0,0,2,7,0,111,50772192.00751320,4545.1421
5673406.8370,3704833.9870,1521.4290,28,1,3,0,0,5,7,0,111,50772192.00752440,4483.4738
5673407.2990,3704833.9450,1503.2850,10,2,3,0,0,5,7,0,111,50772192.00752440,4501.6237
5673408.2230,3704833.8610,1466.4090,31,3,3,0,0,4,7,0,111,50772192.00752440,4538.5114
5673404.4570,3704836.2320,1520.8380,54,1,3,0,0,5,7,0,111,50772192.00753560,4484.0004
5673405.2500,3704836.1400,1488.9150,16,2,3,0,0,5,7,0,111,50772192.00753560,4515.9334
5673406.0070,3704836.1130,1457.4520,129,3,3,0,0,2,7,0,111,50772192.00753560,4547.4055
5673402.0780,3704838.4430,1521.0680,59,1,3,0,0,5,7,0,111,50772192.00754680,4483.7088
5673402.4400,3704838.4290,1505.5820,63,2,3,0,0,5,7,0,111,50772192.00754680,4499.1990
5673403.5940,3704838.3560,1456.0410,13,3,3,0,0,2,7,0,111,50772192.00754680,4548.7535
5673399.7000,3704840.6540,1519.9190,45,1,3,0,0,5,7,0,111,50772192.00755810,4484.7981
5673399.9960,3704840.6370,1506.7300,37,2,3,0,0,5,7,0,111,50772192.00755810,4497.9905
5673401.2130,3704840.6000,1455.4180,19,3,3,0,0,2,7,0,111,50772192.00755810,4549.3169
5673397.4520,3704842.8730,1513.9150,69,1,2,0,0,5,7,0,111,50772192.00756930,4490.7465
5673398.8310,3704842.8770,1453.8110,28,2,2,0,0,2,7,0,111,50772192.00756930,4550.8664
5673395.0730,3704845.0840,1513.7510,38,1,3,0,0,5,6,0,111,50772192.00758050,4490.8559
5673395.4680,3704845.0710,1496.0680,3,2,3,0,0,5,6,0,111,50772192.00758050,4508.5433
5673396.4510,3704845.1210,1453.0890,103,3,3,0,0,2,6,0,111,50772192.00758050,4551.5335
5673392.6950,3704847.2950,1513.1280,100,1,2,0,0,5,6,0,111,50772192.00759180,4491.4264
5673394.0360,3704847.3960,1451.8420,68,2,2,0,0,2,6,0,111,50772192.00759180,4552.7272
5673390.4440,3704849.5790,1507.7470,32,1,3,0,0,5,6,0,111,50772192.00760300,4496.7591
5673390.8030,3704849.6300,1490.5890,10,2,3,0,0,5,6,0,111,50772192.00760300,4513.9209
5673391.6560,3704849.6410,1450.7920,83,3,3,0,0,2,6,0,111,50772192.00760300,4553.7270
5673388.1620,3704851.8280,1502.2680,20,1,3,0,0,5,6,0,111,50772192.00761430,4502.1914
5673388.4570,3704851.8430,1488.5220,9,2,3,0,0,5,6,0,111,50772192.00761430,4515.9406
5673389.2740,3704851.9170,1449.7420,177,3,3,0,0,2,6,0,111,50772192.00761430,4554.7292
5673385.5870,3704854.0300,1511.7170,1,1,2,0,0,5,6,0,111,50772192.00762550,4492.6952
5673386.8940,3704854.1620,1448.3320,243,2,2,0,0,2,6,0,111,50772192.00762550,4556.0938
5673383.0770,3704856.2340,1517.6230,95,1,2,0,0,5,6,0,111,50772192.00763680,4486.7449
5673384.0550,3704856.3830,1468.0170,28,2,2,0,0,5,6,0,111,50772192.00763680,4536.3608
5673380.7310,3704858.4480,1515.5890,14,1,2,0,0,5,6,0,111,50772192.00764800,4488.7387
5673382.0660,3704858.6790,1446.7900,117,2,2,0,0,2,6,0,111,50772192.00764800,4557.5510
5673378.3510,3704860.6920,1514.6370,16,1,2,0,0,5,6,0,111,50772192.00765920,4489.6525
5673379.6840,3704860.9560,1445.0510,136,2,2,0,0,2,6,0,111,50772192.00765920,4559.2517
5673376.0380,3704862.9060,1512.4390,50,1,2,0,0,5,6,0,111,50772192.00767050,4491.8155
5673377.3040,3704863.2010,1443.3450,134,2,2,0,0,2,6,0,111,50772192.00767050,4560.9218
5673374.1110,3704865.2720,1485.6350,10,1,2,0,0,5,6,0,111,50772192.00768170,4518.5903
5673374.7270,3704865.4350,1450.7260,61,2,2,0,0,4,6,0,111,50772192.00768170,4553.5052
5673371.7640,3704867.5180,1483.8630,0,1,2,0,0,5,6,0,111,50772192.00769290,4520.3317
5673372.3140,3704867.6770,1451.7440,33,2,2,0,0,4,6,0,111,50772192.00769290,4552.4558
5673368.9300,3704869.6410,1508.6990,39,1,4,0,0,5,6,0,111,50772192.00770430,4495.4628
5673369.3830,3704869.7620,1481.3690,8,2,4,0,0,5,6,0,111,50772192.00770430,4522.7968
5673369.6410,3704869.8740,1465.7860,12,3,4,0,0,5,6,0,111,50772192.00770430,4538.3823
5673369.8990,3704869.9530,1451.4480,0,4,4,0,0,4,6,0,111,50772192.00770430,4552.7228
5673367.4340,3704867.3970,1474.5130,11,1,2,1,0,5,6,0,111,50772192.02499320,4529.6618
5673368.0480,3704867.5920,1438.2270,212,2,2,1,0,2,6,0,111,50772192.02499320,4565.9535
5673369.6850,3704865.1130,1482.6490,23,1,2,1,0,5,6,0,111,50772192.02500450,4521.5534
5673370.4290,3704865.3480,1439.5720,149,2,2,1,0,2,6,0,111,50772192.02500450,4564.6374
5673372.6480,3704863.0300,1449.6770,73,1,1,1,0,4,6,0,111,50772192.02501570,4554.5619
5673373.9570,3704860.5340,1510.4380,12,1,2,1,0,5,6,0,111,50772192.02502690,4493.8243
5673375.1910,3704860.8270,1442.2620,156,2,2,1,0,2,6,0,111,50772192.02502690,4562.0121
5673376.2380,3704858.3180,1513.8830,54,1,2,1,0,5,6,0,111,50772192.02503820,4490.4139
5673377.5730,3704858.5500,1443.3120,145,2,2,1,0,2,6,0,111,50772192.02503820,4560.9979
5673378.5180,3704856.1020,1518.9020,48,1,4,1,0,5,6,0,111,50772192.02504940,4485.4321
5673379.0730,3704856.1630,1490.0310,14,2,4,1,0,5,6,0,111,50772192.02504940,4514.3085
5673379.3010,3704856.2070,1478.0560,52,3,4,1,0,5,6,0,111,50772192.02504940,4526.2858
5673379.9530,3704856.3060,1445.4770,0,4,4,1,0,2,6,0,111,50772192.02504940,4558.8714
5673380.8980,3704853.8570,1519.3620,13,1,2,1,0,5,6,0,111,50772192.02506070,4485.0127
5673381.3880,3704853.9150,1494.4270,19,2,2,1,0,5,6,0,111,50772192.02506070,4509.9526
5673383.2750,3704851.6790,1517.4260,39,1,2,1,0,5,6,0,111,50772192.02507200,4486.9912
5673384.4840,3704851.8060,1458.1410,19,2,2,1,0,4,6,0,111,50772192.02507200,4546.2887
5673386.0160,3704849.4530,1501.0540,26,1,2,1,0,5,6,0,111,50772192.02508320,4503.4124
5673387.1280,3704849.5420,1447.9050,181,2,2,1,0,2,6,0,111,50772192.02508320,4556.5731
